product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_lead_time,customer_age,customer_gender,customer_income,loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,stockout_indicator,forecasted_demand,actual_demand,year,month,dayofweek,is_weekend,cost_of_goods,week,day,day_of_week,day_of_year,quarter,days_since_start,product_encoded,category_encoded,store_encoded,loyalty_encoded
584,TV,Electronics,5,1597.89,2024-01-01 00:31:00,20,"Miami, FL",446,149,170,5,48,Other,102661.74,Bronze,Digital Wallet,True,,Rainy,False,True,481,212,2024,1,0,0,7989.450000000001,1,1,0,1,1,0,5,1,3,0
223,Camera,Electronics,4,1778.5,2024-01-01 00:40:00,11,"Chicago, IL",250,135,222,3,51,Other,105371.96,Silver,Debit Card,False,,Cloudy,True,False,473,99,2024,1,0,0,7114.0,1,1,0,1,1,0,0,1,0,3
955,Tablet,Electronics,1,1072.17,2024-01-01 00:54:00,5,"Miami, FL",293,95,120,3,32,Female,95047.76,Gold,Debit Card,False,BOGO,Cloudy,False,True,231,97,2024,1,0,0,1072.17,1,1,0,1,1,0,6,1,3,1
415,TV,Electronics,5,1671.37,2024-01-01 02:04:00,11,"New York, NY",76,94,282,5,26,Female,54030.92,Bronze,Digital Wallet,True,BOGO,Cloudy,True,False,316,163,2024,1,0,0,8356.849999999999,1,1,0,1,1,0,5,1,4,0
154,Smartphone,Electronics,5,1275.99,2024-01-01 02:59:00,2,"Los Angeles, CA",481,67,262,1,19,Female,84088.82,Platinum,Credit Card,False,,Rainy,True,True,257,484,2024,1,0,0,6379.95,1,1,0,1,1,0,4,1,2,2
943,Tablet,Electronics,2,1775.85,2024-01-01 03:00:00,2,"New York, NY",139,89,144,8,62,Other,49139.64,Gold,Credit Card,True,,Rainy,True,True,446,324,2024,1,0,0,3551.7,1,1,0,1,1,0,6,1,4,1
329,Fridge,Appliances,3,1194.86,2024-01-01 04:05:00,2,"Dallas, TX",324,79,207,7,35,Other,106145.06,Silver,Credit Card,True,,Rainy,False,False,393,407,2024,1,0,0,3584.58,1,1,0,1,1,0,1,0,1,3
532,Smartphone,Appliances,3,1247.06,2024-01-01 05:55:00,12,"Los Angeles, CA",367,78,265,1,22,Female,94284.96,Gold,Cash,False,,Sunny,False,False,140,268,2024,1,0,0,3741.18,1,1,0,1,1,0,4,0,2,1
782,Camera,Appliances,4,1084.9,2024-01-01 07:52:00,17,"Chicago, IL",45,139,233,1,41,Male,78541.78,Silver,Debit Card,True,,Rainy,True,True,327,181,2024,1,0,0,4339.6,1,1,0,1,1,0,0,0,0,3
738,Tablet,Electronics,4,186.03,2024-01-01 08:37:00,16,"Los Angeles, CA",172,128,167,4,54,Female,102909.01,Bronze,Cash,False,,Sunny,False,False,161,173,2024,1,0,0,744.12,1,1,0,1,1,0,6,1,2,0
552,Camera,Appliances,1,1313.61,2024-01-01 08:40:00,16,"Miami, FL",287,87,146,4,31,Other,90287.74,Silver,Credit Card,False,,Rainy,True,False,231,263,2024,1,0,0,1313.61,1,1,0,1,1,0,0,0,3,3
570,Fridge,Appliances,1,980.76,2024-01-01 09:04:00,11,"Chicago, IL",292,140,253,7,65,Other,29495.13,Gold,Digital Wallet,False,BOGO,Rainy,True,True,326,460,2024,1,0,0,980.76,1,1,0,1,1,0,1,0,0,1
870,Headphones,Appliances,4,403.88,2024-01-01 09:07:00,13,"Miami, FL",248,123,104,4,29,Female,27131.79,Silver,Digital Wallet,True,,Stormy,False,True,483,153,2024,1,0,0,1615.52,1,1,0,1,1,0,2,0,3,3
542,Headphones,Appliances,1,1945.39,2024-01-01 11:02:00,16,"Chicago, IL",241,112,172,1,28,Other,54761.89,Bronze,Credit Card,False,,Rainy,True,True,368,139,2024,1,0,0,1945.39,1,1,0,1,1,0,2,0,0,0
516,Headphones,Appliances,3,850.52,2024-01-01 11:24:00,3,"Miami, FL",126,64,118,4,55,Female,103186.71,Bronze,Credit Card,True,,Cloudy,False,True,494,357,2024,1,0,0,2551.56,1,1,0,1,1,0,2,0,3,0
604,Washing Machine,Appliances,5,1875.45,2024-01-01 14:37:00,8,"Dallas, TX",331,53,274,10,25,Other,119853.17,Bronze,Credit Card,False,Percentage Discount,Rainy,True,True,336,439,2024,1,0,0,9377.25,1,1,0,1,1,0,7,0,1,0
979,TV,Appliances,2,1082.79,2024-01-01 15:51:00,3,"Dallas, TX",18,130,110,4,67,Male,27687.98,Platinum,Debit Card,False,,Stormy,True,True,376,506,2024,1,0,0,2165.58,1,1,0,1,1,0,5,0,1,2
913,Tablet,Electronics,2,1840.31,2024-01-01 16:24:00,2,"Miami, FL",195,51,184,10,59,Other,88166.43,Gold,Digital Wallet,False,,Stormy,False,True,353,499,2024,1,0,0,3680.62,1,1,0,1,1,0,6,1,3,1
317,TV,Electronics,1,808.67,2024-01-01 19:18:00,7,"Dallas, TX",5,78,169,2,61,Male,22428.66,Silver,Cash,True,BOGO,Stormy,True,True,141,129,2024,1,0,0,808.67,1,1,0,1,1,0,5,1,1,3
462,Laptop,Electronics,1,1219.58,2024-01-01 19:34:00,11,"Los Angeles, CA",439,149,196,3,63,Other,78192.01,Bronze,Credit Card,False,BOGO,Sunny,False,False,124,91,2024,1,0,0,1219.58,1,1,0,1,1,0,3,1,2,0
830,Headphones,Appliances,2,1117.86,2024-01-01 20:40:00,8,"Dallas, TX",246,130,139,9,50,Female,119829.87,Platinum,Digital Wallet,False,,Rainy,True,True,282,420,2024,1,0,0,2235.72,1,1,0,1,1,0,2,0,1,2
348,TV,Electronics,2,1598.03,2024-01-01 21:35:00,9,"Dallas, TX",27,117,194,8,38,Male,100867.48,Platinum,Cash,True,Percentage Discount,Cloudy,True,True,116,452,2024,1,0,0,3196.06,1,1,0,1,1,0,5,1,1,2
401,TV,Appliances,2,954.44,2024-01-01 21:53:00,2,"Dallas, TX",343,83,240,10,43,Male,106045.27,Gold,Digital Wallet,True,,Stormy,False,True,319,313,2024,1,0,0,1908.88,1,1,0,1,1,0,5,0,1,1
804,Washing Machine,Electronics,1,1237.93,2024-01-01 22:08:00,10,"Chicago, IL",123,140,193,5,54,Male,60798.25,Gold,Debit Card,False,,Sunny,False,True,251,110,2024,1,0,0,1237.93,1,1,0,1,1,0,7,1,0,1
542,Washing Machine,Appliances,3,1924.98,2024-01-01 22:11:00,16,"New York, NY",421,78,211,9,48,Female,75488.31,Bronze,Credit Card,True,,Sunny,False,True,133,110,2024,1,0,0,5774.9400000000005,1,1,0,1,1,0,7,0,4,0
131,Fridge,Electronics,5,455.61,2024-01-01 22:23:00,7,"Chicago, IL",265,136,149,8,33,Male,101801.21,Platinum,Credit Card,False,BOGO,Rainy,False,True,327,413,2024,1,0,0,2278.05,1,1,0,1,1,0,1,1,0,2
905,Headphones,Electronics,4,187.67,2024-01-02 01:25:00,11,"Los Angeles, CA",275,63,297,7,50,Other,49753.83,Gold,Digital Wallet,True,,Stormy,True,True,400,243,2024,1,1,0,750.68,1,2,1,2,1,1,2,1,2,1
223,Washing Machine,Electronics,3,324.68,2024-01-02 04:52:00,5,"Los Angeles, CA",391,96,153,7,54,Male,22174.63,Silver,Debit Card,False,BOGO,Stormy,False,False,279,156,2024,1,1,0,974.04,1,2,1,2,1,1,7,1,2,3
